0 1 2 3 4 5 6 7 8 9 10 11 12 13
TG272 13 8 1.95 -23 25 7.6 P 8 19.96 0 0.0 0.0 Program
TG273 13 6 22.57 -24 5 19.7 P 8 19.64 0 0.0 0.0 Program
TG274 13 3 41.54 -23 33 12.9 P 8 19.63 0 0.0 0.0 Program
TG275 13 8 43.06 -24 22 41.3 P 8 19.62 0 0.0 0.0 Program
TG276 13 4 23.34 -23 27 0.9 P 8 19.7 0 0.0 0.0 Program
TG277 13 9 36.81 -24 25 28.3 P 8 19.92 0 0.0 0.0 Program
TG278 13 4 2.89 -23 39 33.3 P 8 19.43 0 0.0 0.0 Program
TG279 13 8 20.36 -23 37 39.1 P 8 19.73 0 0.0 0.0 Program
TG280 13 11 30.29 -23 44 55.2 P 8 19.61 0 0.0 0.0 Program
TG281 13 8 6.84 -23 47 12.3 P 8 19.88 0 0.0 0.0 Program
TG282 13 7 1.94 -23 46 35.7 P 8 19.01 0 0.0 0.0 Program
TG283 13 8 11.86 -23 31 40.1 P 8 19.17 0 0.0 0.0 Program
TG284 13 6 56.79 -24 30 22.5 P 8 19.84 0 0.0 0.0 Program
TG285 13 9 7.54 -24 50 13.6 P 8 19.52 0 0.0 0.0 Program
TG286 13 5 14.58 -23 26 53.1 P 8 19.62 0 0.0 0.0 Program
TG287 13 9 54.3 -23 28 54.0 P 8 19.03 0 0.0 0.0 Program
TG288 13 9 30.55 -23 14 47.4 P 8 19.46 0 0.0 0.0 Program
TG289 13 8 33.45 -23 35 6.7 P 8 19.79 0 0.0 0.0 Program
TG290 13 6 20.16 -23 13 8.2 P 8 19.09 0 0.0 0.0 Program
TG291 13 6 6.56 -24 53 12.0 P 8 19.06 0 0.0 0.0 Program
TG292 13 3 39.62 -24 19 36.3 P 8 19.27 0 0.0 0.0 Program
TG293 13 4 43.29 -24 45 1.1 P 8 19.93 0 0.0 0.0 Program
TG294 13 9 9.75 -23 32 55.1 P 8 19.1 0 0.0 0.0 Program
TG295 13 8 35.65 -24 53 7.5 P 8 18.88 0 0.0 0.0 Program
TG296 13 4 29.18 -23 37 12.9 P 8 18.87 0 0.0 0.0 Program
TG297 13 4 57.52 -23 53 23.4 P 8 19.81 0 0.0 0.0 Program
TG298 13 8 33.73 -23 4 39.3 P 8 17.49 0 0.0 0.0 Program
TG299 13 7 40.1 -24 58 47.3 P 8 18.95 0 0.0 0.0 Program
TG300 13 3 55.44 -23 30 25.6 P 8 19.26 0 0.0 0.0 Program
TG301 13 3 35.91 -23 41 3.5 P 8 19.82 0 0.0 0.0 Program
TG302 13 8 51.44 -24 17 43.4 P 8 19.43 0 0.0 0.0 Program
TG303 13 4 40.08 -23 31 7.5 P 8 19.93 0 0.0 0.0 Program
TG304 13 5 24.12 -23 31 12.3 P 8 19.97 0 0.0 0.0 Program
TG305 13 4 25.82 -23 31 45.5 P 8 19.39 0 0.0 0.0 Program
TG306 13 10 38.93 -24 27 3.0 P 8 19.74 0 0.0 0.0 Program
TG307 13 4 17.45 -23 44 3.2 P 8 19.64 0 0.0 0.0 Program
TG308 13 6 16.46 -23 42 7.1 P 8 19.97 0 0.0 0.0 Program
