RA	DEC	MAG_R	MAG_G	MAG_Z	FLUX_R	FLUX_G	FLUX_Z	FIBERFLUX_G	FIBERFLUX_R	FIBERFLUX_Z	MW_TRANSMISSION_G	MW_TRANSMISSION_R	MW_TRANSMISSION_Z	FLUX_IVAR_G	FLUX_IVAR_R	FLUX_IVAR_Z	GAIA_PHOT_G_MEAN_MAG	GAIA_PHOT_G_MEAN_MAG_1	MASKBITS	FRACMASKED_G	FRACMASKED_R	FRACMASKED_Z	FRACFLUX_G	FRACFLUX_R	FRACFLUX_Z	FRACIN_G	FRACIN_R	FRACIN_Z	NOBS_G	NOBS_R	NOBS_Z	PROB	LOCAL	SEP	0
196.3585810649421	-22.76654442333701	19.610945	20.398006	18.97848	14.309433	6.9310236	25.6217	2.599968	5.367759	9.61122	0.7247107	0.8050165	0.8857509	1508.1877	643.3276	295.00943	0.0	0.0	0.0	0.0021251463	0.002785434	0.008249171	0.00087632815	0.00083114253	0.00056646945	0.99772763	0.9475363	0.977835	18.0	18.0	45.0	0.4895549687881553	True	1.3337689842482323	 
197.2762099540248	-22.50287375409752	19.065552	20.693842	18.174402	23.647173	5.2779255	53.732723	2.0157259	9.031241	20.521404	0.735437	0.81302327	0.8906679	709.167	185.56453	132.9078	0.0	0.0	0.0	0.020214073	0.0050338386	0.02573678	3.1254438e-06	-0.00012093529	6.289223e-05	0.51225275	0.42002162	0.52107894	8.0	7.0	22.0	0.3988269608508498	True	1.546377371199986	 
197.5840465812808	-23.44944640047033	19.609291	21.30102	18.692175	14.331239	3.0171177	33.35264	1.1742837	5.5778203	12.981085	0.6873842	0.7768463	0.86827755	1351.8959	581.58136	230.62889	0.0	0.0	0.0	0.003829355	0.040489417	0.0032723295	0.005777306	0.0052112234	0.006941083	0.9989635	0.95851105	0.99999994	17.0	19.0	42.0	0.3910880549445513	True	0.8449114550001279	 
196.569632017483	-22.99305767008061	19.642866	21.202694	18.678066	13.894835	3.303104	33.788864	1.3655188	5.7441907	13.968476	0.6771871	0.7690644	0.86340165	666.9505	218.69113	141.99939	0.0	0.0	0.0	0.003764422	0.08694723	0.017947577	0.09430986	0.05004409	0.023748592	0.49744096	0.39758497	0.54877824	9.0	8.0	24.0	0.5210051629674852	True	1.057036246770949	 
197.3133820401535	-22.99318487210027	19.10615	20.386234	18.231905	22.779297	7.006578	50.961	1.8861334	6.1320653	13.71843	0.6844055	0.7745771	0.86685795	981.73486	445.15967	176.90361	0.0	0.0	0.0	0.0011691938	0.0020247512	0.07577399	0.021697333	0.009361848	0.0042138966	0.9390758	0.89268225	0.99838006	17.0	18.0	44.0	0.4855468538424669	True	1.086372853230456	 
196.9027645829711	-23.95838334686708	19.53698	21.372581	18.533186	15.31822	2.8246675	38.612274	0.92839766	5.034716	12.690889	0.6586806	0.75484294	0.8544343	1389.602	561.46533	221.64554	0.0	0.0	0.0	0.0020157632	0.0018997855	0.0021477968	0.007334544	0.006845668	0.0028813998	0.99994165	0.9999323	0.99991345	18.0	20.0	43.0	0.3337195409049112	True	0.0514294096430142	 
197.3248789405978	-23.07732155264913	19.23202	19.57848	19.018415	20.2858	14.74376	24.696426	0.082697585	0.11378282	0.13852197	0.69230515	0.7805882	0.87061447	19.516336	9.726431	3.548235	0.0	0.0	68352.0	0.0059053996	0.061363883	0.0425205	2.0163784	2.2780066	2.9288375	0.7934633	0.81049436	0.9409741	16.0	18.0	43.0	0.4518849477987342	True	1.0122441356657368	 
196.2196469808189	-22.88626121576705	19.737694	21.50749	18.723753	12.732759	2.494618	32.396538	0.840038	4.287631	10.909215	0.7330352	0.81123376	0.8895708	1143.9358	493.75443	191.64268	0.0	0.0	0.0	0.0045880736	0.0063367966	0.009384606	0.011505336	0.0071384185	0.005270576	0.9999325	0.99992913	0.96389717	19.0	20.0	44.0	0.3621534277997679	True	1.2788100915129053	 
195.8260326460857	-23.28083231793627	19.874159	20.36346	19.631834	11.228889	7.155097	14.036754	3.6431923	5.717463	7.147156	0.6761347	0.76825917	0.86289585	631.78796	413.70044	55.196453	0.0	0.0	0.0	0.0037833278	0.0056889243	0.00532914	0.001248758	0.0033607795	0.0012877398	0.9986828	0.9980389	0.9980674	5.0	6.0	6.0	0.100717323024936	True	1.2146666151259669	 
196.2572561086809	-23.92117610332302	19.555384	20.880213	18.56469	15.060743	4.4454436	37.50799	1.6973712	5.7505336	14.321403	0.648319	0.74682355	0.84934485	542.3783	281.4278	19.338755	0.0	0.0	0.0	0.0030980995	0.004703769	0.0061520124	0.0041044713	0.0055428594	0.00014308204	0.9800571	0.99994946	0.99990785	4.0	6.0	4.0	0.097086731182964	True	0.5851547354373814	 
196.3900123596512	-23.57433803640238	19.451765	21.10676	18.49634	16.568918	3.6082428	39.945133	1.1515701	5.2879677	12.748484	0.64834625	0.7468447	0.8493583	1014.37	410.36948	190.60176	0.0	0.0	0.0	0.00026149806	0.001766916	0.008726234	0.19040006	0.1442489	0.13537225	0.9444444	0.9	0.9999999	17.0	18.0	44.0	0.2112782601498478	True	0.6306553306555804	 
196.0619517130746	-23.62529859933139	18.977676	20.748453	18.019575	25.640665	5.0190163	61.968395	1.0564611	5.397146	13.043831	0.65951145	0.7554842	0.8548403	200.13011	97.03752	10.776965	0.0	0.0	0.0	0.14942315	0.07624656	0.077331655	0.00044502754	0.0001958021	0.00019826465	0.91173565	0.9111265	0.76189744	4.0	6.0	5.0	0.104144654648993	True	0.8485070143655624	 
197.3245266130021	-23.38177793069996	19.821735	20.327974	19.097126	11.784354	7.392825	22.969398	0.31467518	0.5016004	0.9776912	0.7032957	0.7889142	0.8757966	74.19379	38.23754	12.924439	0.0	0.0	0.0	0.1234915	0.10973356	0.11064078	2.6002629	3.1606193	2.4886672	0.9451798	0.9450928	0.94508564	19.0	20.0	43.0	0.4904359549080564	True	0.7416236693545978	 
196.7329667975615	-23.59583316620633	19.694242	20.299818	19.336824	13.252652	7.5870504	18.419165	3.2365453	5.653424	7.8573966	0.68113637	0.7720828	0.86529547	1426.5658	832.4216	332.08078	0.0	0.0	0.0	0.08428651	0.0017891944	0.0024505628	9.7660355e-05	0.00019268293	0.00019826656	0.99995023	0.9999414	0.99991214	19.0	20.0	43.0	0.3605073018671489	True	0.4371803178943119	 
196.3924928284134	-22.91676978654294	19.51458	20.518774	18.751522	15.637529	6.2014065	31.57849	2.0818589	5.249636	10.601136	0.70964885	0.7937077	0.87876916	1640.7539	730.7372	274.64444	0.0	0.0	0.0	0.0019621125	0.044248033	0.003250295	0.0009122431	0.0012455954	0.0001489066	0.9047619	0.9166665	0.9772728	19.0	22.0	43.0	0.465637465482284	True	1.1828679125672803	 
196.5139322013895	-23.24254939506777	19.466469	21.164213	18.469345	16.346039	3.4222739	40.95079	1.3757579	6.5711255	16.462263	0.6658944	0.7604017	0.8579482	1343.123	508.49283	241.52736	0.0	0.0	0.0	0.0010991633	0.038565855	0.0014681497	0.0025737083	0.0013211403	0.0005809932	0.99973375	0.9997172	0.99969405	17.0	18.0	42.0	0.3848708189022835	True	0.8397970061409618	 
196.7570901333398	-23.51642973591453	18.924107	19.524014	18.413557	26.937496	15.502247	43.109917	6.5074787	11.307728	18.096529	0.68163276	0.77246183	0.865533	1421.6158	727.16174	305.48303	0.0	0.0	0.0	0.00040422234	0.010482282	0.00585586	0.00074442936	0.0011502779	0.006161824	1.0000001	1.0	0.9767443	18.0	20.0	42.0	0.426928832291597	True	0.5070704379986316	 
196.7010159746942	-22.53697572600503	19.759518	21.680557	18.727608	12.479385	2.1270459	32.281765	0.7199386	4.2238817	10.926369	0.72119886	0.80238664	0.88413113	1334.7336	523.8561	214.48932	0.0	0.0	0.0	0.0038320504	0.027150821	0.007222185	0.031804558	0.0289683	0.06152393	0.9999813	0.9999786	0.999976	19.0	20.0	43.0	0.6657764498717507	True	1.481789573422149	 
195.7573926357331	-22.62178404704481	17.363068	18.530922	16.426193	113.44175	38.692898	268.85773	3.8002317	11.141707	26.405924	0.7025601	0.78835833	0.8754514	31.037722	17.148989	3.2861187	0.0	0.0	0.0	0.089682765	0.088741116	0.09234177	0.12162944	0.04585706	0.020470032	0.6676245	0.79523265	0.7831863	3.0	4.0	7.0	0.1876652968873005	True	1.7305842671788814	 
196.9729110109366	-23.8128208566264	18.47702	19.269129	17.959894	40.662285	19.604185	65.46995	1.1432617	2.3713117	3.8180258	0.65625	0.7529655	0.85324496	189.96098	92.52713	30.39081	0.0	0.0	0.0	0.04577989	0.0401147	0.046233196	0.014192464	0.023754846	0.035874505	0.9914777	0.9867732	0.94702256	18.0	20.0	40.0	0.413734068066321	True	0.2097137049787854	 
196.9937870814065	-23.33592629076344	19.71702	21.032911	18.834286	12.97753	3.8622034	29.260756	1.4627283	4.914967	11.081896	0.6636827	0.7586996	0.85687345	219.89636	92.18704	24.640238	0.0	0.0	0.0	0.012725888	0.015008911	0.013758514	0.00025284436	0.0002733125	9.534578e-05	0.9960424	0.9954513	0.9952497	3.0	2.0	4.0	0.5379112102031303	True	0.6792466496986026	 
